n/blockwidth,2,4,8,16,32,64,128,256,512
4.000000e+07,5.000000e-01,4.338263e-01,2.155832e-01,1.039160e-01,5.542871e-02,2.055775e-02,1.314634e-02,6.504314e-03,3.556584e-03
8.000000e+07,5.000000e-01,3.176298e-01,1.932529e-01,8.410023e-02,5.136212e-02,2.099284e-02,1.292438e-02,5.822188e-03,3.199319e-03
1.600000e+08,5.000000e-01,3.291656e-01,2.563919e-01,1.528422e-01,7.918807e-02,4.160130e-02,2.192062e-02,1.021239e-02,5.020077e-03
3.200000e+08,5.000000e-01,4.493065e-01,4.256034e-01,3.107986e-01,2.010353e-01,9.443103e-02,5.011425e-02,2.552656e-02,1.414732e-02
6.400000e+08,5.000000e-01,4.587503e-01,4.430152e-01,4.063503e-01,3.623492e-01,2.188752e-01,1.110701e-01,5.327668e-02,2.428879e-02
1.280000e+09,5.000000e-01,4.710890e-01,5.004394e-01,4.390302e-01,4.236473e-01,2.866863e-01,1.417437e-01,6.954320e-02,3.900295e-02
2.560000e+09,5.000000e-01,4.828084e-01,4.925167e-01,5.056306e-01,4.856811e-01,3.400146e-01,1.728457e-01,8.655828e-02,4.407380e-02
5.120000e+09,5.000000e-01,4.814592e-01,5.066464e-01,5.050589e-01,4.955028e-01,3.690241e-01,1.838923e-01,8.757730e-02,4.619907e-02
1.024000e+10,5.000000e-01,5.031048e-01,4.973693e-01,5.068242e-01,5.121986e-01,3.768590e-01,1.819613e-01,9.035813e-02,4.562815e-02
